calculation with matrice of size 1000
1 threads:Matrix multiplication took 8.21 seconds
2 threads:Matrix multiplication took 3.77 seconds
3 threads:Matrix multiplication took 2.89 seconds
4 threads:Matrix multiplication took 2.23 seconds
5 threads:Matrix multiplication took 4.08 seconds
6 threads:Matrix multiplication took 4.26 seconds
7 threads:Matrix multiplication took 2.16 seconds
8 threads:Matrix multiplication took 2.05 seconds
9 threads:Matrix multiplication took 3.70 seconds
10 threads:Matrix multiplication took 2.09 seconds
11 threads:Matrix multiplication took 3.16 seconds
12 threads:Matrix multiplication took 1.93 seconds
13 threads:Matrix multiplication took 2.04 seconds
14 threads:Matrix multiplication took 2.06 seconds
15 threads:Matrix multiplication took 2.08 seconds
16 threads:Matrix multiplication took 2.03 seconds
17 threads:Matrix multiplication took 2.64 seconds
18 threads:Matrix multiplication took 2.07 seconds
19 threads:Matrix multiplication took 2.06 seconds
20 threads:Matrix multiplication took 2.00 seconds
